seq,XPath
0,cbc:CustomizationID
1,cbc:ProfileID
2,cbc:ID
3,cbc:IssueDate
4,cbc:IssueTime
5,cbc:DueDate
6,cbc:InvoiceTypeCode
7,cbc:Note
8,cbc:TaxPointDate
9,cbc:DocumentCurrencyCode
10,cbc:TaxCurrencyCode
11,cbc:AccountingCost
12,cbc:BuyerReference
13,cac:InvoicePeriod
14,cac:InvoicePeriod/cbc:StartDate
15,cac:InvoicePeriod/cbc:EndDate
16,cac:InvoicePeriod/cbc:DescriptionCode
17,cac:OrderReference
18,cac:OrderReference/cbc:ID
19,cac:OrderReference/cbc:SalesOrderID
20,cac:BillingReference
21,cac:BillingReference/cac:InvoiceDocumentReference
22,cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID
23,cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate
24,cac:DespatchDocumentReference
25,cac:DespatchDocumentReference/cbc:ID
26,cac:ReceiptDocumentReference
27,cac:ReceiptDocumentReference/cbc:ID
28,cac:OriginatorDocumentReference
29,cac:OriginatorDocumentReference/cbc:ID
30,cac:ContractDocumentReference
31,cac:ContractDocumentReference/cbc:ID
32,cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']
33,cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID
34,cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID
35,cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:DocumentTypeCode
36,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]
37,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID
38,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentDescription
39,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment
40,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
41,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode
42,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference
43,cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference/cbc:URI
44,cac:ProjectReference
45,cac:ProjectReference/cbc:ID
46,cac:AccountingSupplierParty
47,cac:AccountingSupplierParty/cac:Party
48,cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
49,cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID
50,cac:AccountingSupplierParty/cac:Party/cac:PartyName
51,cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
