seq,XPath
52,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress
53,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
54,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
55,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
56,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
57,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
58,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine
59,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
60,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country
61,cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
62,cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity
63,cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
64,cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
65,cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
66,cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
67,cac:AccountingSupplierParty/cac:Party/cac:Contact
68,cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name
69,cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone
70,cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail
71,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID!='SEPA']
72,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID!='SEPA']/cbc:ID
73,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID!='SEPA']/cbc:ID/@schemeID
74,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID='SEPA']
75,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID='SEPA']/cbc:ID
76,cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID='SEPA']/cbc:ID/@schemeID
77,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']
78,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID
79,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cac:TaxScheme
80,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cac:TaxScheme/cbc:ID
81,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']
82,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cbc:CompanyID
83,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cac:TaxScheme
84,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cac:TaxScheme/cbc:ID
85,cac:AccountingCustomerParty
86,cac:AccountingCustomerParty/cac:Party
87,cac:AccountingCustomerParty/cac:Party/cbc:EndpointID
88,cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID
89,cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification
90,cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
91,cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
92,cac:AccountingCustomerParty/cac:Party/cac:PartyName
93,cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
94,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress
95,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName
96,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
97,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName
98,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone
99,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
100,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine
101,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
102,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country
103,cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
104,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme
105,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
106,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme
107,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
108,cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity
109,cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
110,cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
111,cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
112,cac:AccountingCustomerParty/cac:Party/cac:Contact
113,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
114,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
115,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail
116,cac:PayeeParty
117,cac:PayeeParty/cac:PartyIdentification
118,cac:PayeeParty/cac:PartyIdentification/cbc:ID
119,cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID
120,cac:PayeeParty/cac:PartyName
121,cac:PayeeParty/cac:PartyName/cbc:Name
122,cac:PayeeParty/cac:PartyLegalEntity
123,cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID
124,cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
125,cac:TaxRepresentativeParty
126,cac:TaxRepresentativeParty/cac:PartyName
127,cac:TaxRepresentativeParty/cac:PartyName/cbc:Name
128,cac:TaxRepresentativeParty/cac:PostalAddress
129,cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName
130,cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName
131,cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName
132,cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone
133,cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity
134,cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine
135,cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line
136,cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country
137,cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode
138,cac:TaxRepresentativeParty/cac:PartyTaxScheme
139,cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID
140,cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme
141,cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
142,cac:Delivery
143,cac:Delivery/cbc:ActualDeliveryDate
144,cac:Delivery/cac:DeliveryLocation
145,cac:Delivery/cac:DeliveryLocation/cbc:ID
146,cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID
147,cac:Delivery/cac:DeliveryLocation/cac:Address
148,cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName
149,cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName
150,cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName
151,cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone
152,cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity
153,cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine
154,cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line
155,cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country
156,cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode
157,cac:Delivery/cac:DeliveryParty
158,cac:Delivery/cac:DeliveryParty/cac:PartyName
159,cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name
160,cac:PaymentMeans
161,cac:PaymentMeans/cbc:ID
162,cac:PaymentMeans/cbc:PaymentMeansCode
163,cac:PaymentMeans/cbc:PaymentMeansCode/@name
164,cac:PaymentMeans/cbc:PaymentID
165,cac:PaymentMeans/cbc:PaymentID/@schemeID
166,cac:PaymentMeans/cac:CardAccount
167,cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID
168,cac:PaymentMeans/cac:CardAccount/cbc:NetworkID
169,cac:PaymentMeans/cac:CardAccount/cbc:HolderName
170,cac:PaymentMeans/cac:PayeeFinancialAccount
171,cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID
172,cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@schemeID
173,cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name
174,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch
175,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID
176,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address
177,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName
178,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName
179,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName
180,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone
181,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity
182,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine
183,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line
184,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country
185,cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode
186,cac:PaymentMeans/cac:PaymentMandate
187,cac:PaymentMeans/cac:PaymentMandate/cbc:ID
188,cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount
189,cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID
190,cac:PaymentTerms
191,cac:PaymentTerms/cbc:PaymentMeansID
192,cac:PaymentTerms/cbc:Note
193,cac:PaymentTerms/cbc:Amount
194,cac:PaymentTerms/cbc:Amount/@currencyID
195,cac:PaymentTerms/cbc:InstallmentDueDate
196,cac:PrepaidPayment
197,cac:PrepaidPayment/cbc:ID
198,cac:PrepaidPayment/cbc:PaidAmount
199,cac:PrepaidPayment/cbc:ReceivedDate
200,cac:PrepaidPayment/cbc:InstructionID
201,cac:AllowanceCharge[cbc:ChargeIndicator=false()]
202,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
203,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode
204,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason
205,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric
206,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
207,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount/@currencyID
208,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
209,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount/@currencyID
210,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory
211,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:ID
212,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:Percent
213,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cac:TaxScheme
214,cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cac:TaxScheme/cbc:ID
215,cac:AllowanceCharge[cbc:ChargeIndicator=true()]
216,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:ChargeIndicator
217,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode
218,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason
219,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric
220,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount
221,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount/@currencyID
222,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount
223,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount/@currencyID
224,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory
225,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:ID
226,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:Percent
227,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme
228,cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme/cbc:ID
229,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]
230,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cbc:TaxAmount
231,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal
232,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxableAmount
233,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cbc:TaxAmount
234,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory
235,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
236,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
237,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme
238,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:DocumentCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID
239,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]
240,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cbc:TaxAmount
241,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cac:TaxSubtotal
242,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cac:TaxSubtotal/cbc:TaxAmount
243,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory
244,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
245,cac:TaxTotal[cbc:TaxAmount/@currencyID=cbc:TaxCurrencyCode]/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
246,cac:LegalMonetaryTotal
247,cac:LegalMonetaryTotal/cbc:LineExtensionAmount
248,cac:LegalMonetaryTotal/cbc:LineExtensionAmount/@currencyID
249,cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
250,cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount/@currencyID
251,cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount
252,cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount/@currencyID
253,cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
254,cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount/@currencyID
255,cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
256,cac:LegalMonetaryTotal/cbc:ChargeTotalAmount/@currencyID
257,cac:LegalMonetaryTotal/cbc:PrepaidAmount
258,cac:LegalMonetaryTotal/cbc:PrepaidAmount/@currencyID
259,cac:LegalMonetaryTotal/cbc:PayableRoundingAmount
260,cac:LegalMonetaryTotal/cbc:PayableRoundingAmount/@currencyID
261,cac:LegalMonetaryTotal/cbc:PayableAmount
262,cac:LegalMonetaryTotal/cbc:PayableAmount/@currencyID
263,cac:InvoiceLine
264,cac:InvoiceLine/cbc:ID
265,cac:InvoiceLine/cbc:Note
266,cac:InvoiceLine/cbc:InvoicedQuantity
267,cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode
268,cac:InvoiceLine/cbc:LineExtensionAmount
269,cac:InvoiceLine/cbc:LineExtensionAmount/@currencyID
270,cac:InvoiceLine/cbc:AccountingCost
271,cac:InvoiceLine/cac:InvoicePeriod
272,cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate
273,cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate
274,cac:InvoiceLine/cac:OrderLineReference
275,cac:InvoiceLine/cac:OrderLineReference/cbc:LineID
276,cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference
277,cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID
278,cac:InvoiceLine/cac:DespatchLineReference
279,cac:InvoiceLine/cac:DespatchLineReference/cbc:LineID
280,cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference
281,cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID
282,cac:InvoiceLine/cac:Item
283,cac:InvoiceLine/cac:Item/cbc:Description
284,cac:InvoiceLine/cac:Item/cbc:Name
285,cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification
286,cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID
287,cac:InvoiceLine/cac:Item/cac:SellersItemIdentification
288,cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
289,cac:InvoiceLine/cac:Item/cac:StandardItemIdentification
290,cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID
291,cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID/@schemeID
292,cac:InvoiceLine/cac:Item/cac:OriginCountry
293,cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode
294,cac:InvoiceLine/cac:Item/cac:CommodityClassification
295,cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode
296,cac:InvoiceLine/cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID
297,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory
298,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
299,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
300,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:PerUnitAmount
301,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme
302,cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID
303,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty
304,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Name
305,cac:InvoiceLine/cac:Item/cac:AdditionalItemProperty/cbc:Value
306,cac:InvoiceLine/cac:Price
307,cac:InvoiceLine/cac:Price/cbc:PriceAmount
308,cac:InvoiceLine/cac:Price/cbc:PriceAmount/@currencyID
309,cac:InvoiceLine/cac:Price/cbc:BaseQuantity
310,cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode
311,cac:InvoiceLine/cbc:ID
312,cac:InvoiceLine/cbc:Note
313,cac:InvoiceLine/cbc:InvoicedQuantity
314,cac:InvoiceLine/cbc:LineExtensionAmount
315,cac:InvoiceLine/cbc:AccountingCost
316,cac:InvoiceLine/cac:InvoicePeriod
317,cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate
318,cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate
319,cac:InvoiceLine/cac:OrderLineReference
320,cac:InvoiceLine/cac:OrderLineReference/cbc:LineID
321,cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference
322,cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID
323,cac:InvoiceLine/cac:DespatchLineReference
324,cac:InvoiceLine/cac:DespatchLineReference/cbc:LineID
325,cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference
326,cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID
327,cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']
328,cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:ID
329,cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID
330,cac:InvoiceLine/cac:DocumentReference[cbc:DocumentTypeCode='130']/cbc:DocumentTypeCode
331,cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]
332,cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID
333,cac:InvoiceLine/cac:DocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentTypeCode
334,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]
335,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:ChargeIndicator
336,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReasonCode
337,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:AllowanceChargeReason
338,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric
339,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
340,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount/@currencyID
341,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
342,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount/@currencyID
343,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]
344,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:ChargeIndicator
345,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReasonCode
346,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:AllowanceChargeReason
347,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:MultiplierFactorNumeric
348,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount
349,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount/@currencyID
350,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount
351,cac:InvoiceLine/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:BaseAmount/@currencyID
352,cac:InvoiceLine/cac:Item
353,cac:InvoiceLine/cac:Item/cbc:Description
354,cac:InvoiceLine/cac:Item/cbc:Name
355,cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification
356,cac:InvoiceLine/cac:Item/cac:BuyersItemIdentification/cbc:ID
357,cac:InvoiceLine/cac:Item/cac:SellersItemIdentification
358,cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
359,cac:InvoiceLine/cac:Item/cac:StandardItemIdentification
360,cac:InvoiceLine/cac:Item/cac:StandardItemIdentification/cbc:ID
361,cac:InvoiceLine/cac:Item/cac:OriginCountry
362,cac:InvoiceLine/cac:Item/cac:OriginCountry/cbc:IdentificationCode
363,cac:InvoiceLine/cac:Item/cac:CommodityClassification
